PvEstimate,PvEstimate10,PvEstimate90,PeriodEnd,Period
0.4855,0.1389,0.8193,2021-07-09T12:30:00Z,PT30M
0.3406,0.1113,0.7941,2021-07-09T13:00:00Z,PT30M
0.3323,0.1313,0.7565,2021-07-09T13:30:00Z,PT30M
0.4197,0.1438,0.7401,2021-07-09T14:00:00Z,PT30M
0.487,0.1935,0.7379,2021-07-09T14:30:00Z,PT30M
0.5468,0.2424,0.7024,2021-07-09T15:00:00Z,PT30M
0.5263,0.2363,0.6273,2021-07-09T15:30:00Z,PT30M
0.5181,0.2677,0.5664,2021-07-09T16:00:00Z,PT30M
0.4338,0.2168,0.4807,2021-07-09T16:30:00Z,PT30M
0.3531,0.1762,0.3909,2021-07-09T17:00:00Z,PT30M
0.2769,0.1383,0.3009,2021-07-09T17:30:00Z,PT30M
0.1998,0.0998,0.2108,2021-07-09T18:00:00Z,PT30M
0.1181,0.0567,0.1213,2021-07-09T18:30:00Z,PT30M
0.0388,0.0218,0.0388,2021-07-09T19:00:00Z,PT30M
0.0047,0.0027,0.0047,2021-07-09T19:30:00Z,PT30M
0,0,0,2021-07-09T20:00:00Z,PT30M
0,0,0,2021-07-09T20:30:00Z,PT30M
0,0,0,2021-07-09T21:00:00Z,PT30M
0,0,0,2021-07-09T21:30:00Z,PT30M
0,0,0,2021-07-09T22:00:00Z,PT30M
0,0,0,2021-07-09T22:30:00Z,PT30M
0,0,0,2021-07-09T23:00:00Z,PT30M
0,0,0,2021-07-09T23:30:00Z,PT30M
0,0,0,2021-07-10,PT30M
0,0,0,2021-07-10T00:30:00Z,PT30M
0,0,0,2021-07-10T01:00:00Z,PT30M
0,0,0,2021-07-10T01:30:00Z,PT30M
0,0,0,2021-07-10T02:00:00Z,PT30M
0,0,0,2021-07-10T02:30:00Z,PT30M
0,0,0,2021-07-10T03:00:00Z,PT30M
0,0,0,2021-07-10T03:30:00Z,PT30M
0,0,0,2021-07-10T04:00:00Z,PT30M
0.0252,0.0155,0.0285,2021-07-10T04:30:00Z,PT30M
0.0898,0.0414,0.1009,2021-07-10T05:00:00Z,PT30M
0.1729,0.0945,0.1881,2021-07-10T05:30:00Z,PT30M
0.2623,0.1553,0.2798,2021-07-10T06:00:00Z,PT30M
0.3534,0.2171,0.3722,2021-07-10T06:30:00Z,PT30M
0.4413,0.2738,0.4626,2021-07-10T07:00:00Z,PT30M
0.5179,0.3174,0.5493,2021-07-10T07:30:00Z,PT30M
0.5769,0.3483,0.627,2021-07-10T08:00:00Z,PT30M
0.6308,0.3673,0.6997,2021-07-10T08:30:00Z,PT30M
0.6771,0.3833,0.7604,2021-07-10T09:00:00Z,PT30M
0.7195,0.4047,0.8111,2021-07-10T09:30:00Z,PT30M
0.7666,0.4324,0.8546,2021-07-10T10:00:00Z,PT30M
0.7995,0.4542,0.8835,2021-07-10T10:30:00Z,PT30M
0.8222,0.4668,0.9012,2021-07-10T11:00:00Z,PT30M
0.8339,0.4679,0.9143,2021-07-10T11:30:00Z,PT30M
0.8308,0.4556,0.9155,2021-07-10T12:00:00Z,PT30M
0.8138,0.4344,0.901,2021-07-10T12:30:00Z,PT30M
0.7922,0.4106,0.8797,2021-07-10T13:00:00Z,PT30M
0.7659,0.3884,0.8528,2021-07-10T13:30:00Z,PT30M
0.7303,0.3607,0.8114,2021-07-10T14:00:00Z,PT30M
0.6838,0.3292,0.7589,2021-07-10T14:30:00Z,PT30M
0.6229,0.2877,0.695,2021-07-10T15:00:00Z,PT30M
0.5566,0.2425,0.6278,2021-07-10T15:30:00Z,PT30M
0.4777,0.1916,0.5482,2021-07-10T16:00:00Z,PT30M
0.3963,0.1424,0.4625,2021-07-10T16:30:00Z,PT30M
0.3106,0.0975,0.372,2021-07-10T17:00:00Z,PT30M
0.2283,0.058,0.282,2021-07-10T17:30:00Z,PT30M
0.1483,0.0281,0.1922,2021-07-10T18:00:00Z,PT30M
0.0765,0.0152,0.1076,2021-07-10T18:30:00Z,PT30M
0.0243,0.0061,0.0326,2021-07-10T19:00:00Z,PT30M
0.0027,0.0007,0.004,2021-07-10T19:30:00Z,PT30M
0,0,0,2021-07-10T20:00:00Z,PT30M
0,0,0,2021-07-10T20:30:00Z,PT30M
0,0,0,2021-07-10T21:00:00Z,PT30M
0,0,0,2021-07-10T21:30:00Z,PT30M
0,0,0,2021-07-10T22:00:00Z,PT30M
0,0,0,2021-07-10T22:30:00Z,PT30M
0,0,0,2021-07-10T23:00:00Z,PT30M
0,0,0,2021-07-10T23:30:00Z,PT30M
0,0,0,2021-07-11,PT30M
0,0,0,2021-07-11T00:30:00Z,PT30M
0,0,0,2021-07-11T01:00:00Z,PT30M
0,0,0,2021-07-11T01:30:00Z,PT30M
0,0,0,2021-07-11T02:00:00Z,PT30M
0,0,0,2021-07-11T02:30:00Z,PT30M
0,0,0,2021-07-11T03:00:00Z,PT30M
0,0,0,2021-07-11T03:30:00Z,PT30M
0,0,0,2021-07-11T04:00:00Z,PT30M
0.0275,0.01,0.03,2021-07-11T04:30:00Z,PT30M
0.0951,0.0247,0.1059,2021-07-11T05:00:00Z,PT30M
0.1765,0.0507,0.1944,2021-07-11T05:30:00Z,PT30M
0.264,0.0881,0.2884,2021-07-11T06:00:00Z,PT30M
0.3533,0.1307,0.383,2021-07-11T06:30:00Z,PT30M
0.4381,0.1745,0.4732,2021-07-11T07:00:00Z,PT30M
0.5193,0.2211,0.5591,2021-07-11T07:30:00Z,PT30M
0.5984,0.2681,0.6409,2021-07-11T08:00:00Z,PT30M
0.6658,0.3141,0.7102,2021-07-11T08:30:00Z,PT30M
0.7282,0.3568,0.7702,2021-07-11T09:00:00Z,PT30M
0.7851,0.3968,0.8259,2021-07-11T09:30:00Z,PT30M
0.8263,0.4321,0.8655,2021-07-11T10:00:00Z,PT30M
0.8662,0.4653,0.8988,2021-07-11T10:30:00Z,PT30M
0.8893,0.4868,0.9175,2021-07-11T11:00:00Z,PT30M
0.9071,0.5058,0.9289,2021-07-11T11:30:00Z,PT30M
0.9155,0.5148,0.9304,2021-07-11T12:00:00Z,PT30M
0.9114,0.5158,0.9208,2021-07-11T12:30:00Z,PT30M
0.8892,0.5023,0.8959,2021-07-11T13:00:00Z,PT30M
0.8597,0.4789,0.865,2021-07-11T13:30:00Z,PT30M
0.8149,0.4473,0.8243,2021-07-11T14:00:00Z,PT30M
0.7596,0.4085,0.7727,2021-07-11T14:30:00Z,PT30M
0.6945,0.3634,0.7119,2021-07-11T15:00:00Z,PT30M
0.6221,0.312,0.6454,2021-07-11T15:30:00Z,PT30M
0.5394,0.2581,0.566,2021-07-11T16:00:00Z,PT30M
0.4535,0.2094,0.4795,2021-07-11T16:30:00Z,PT30M
0.369,0.1613,0.3902,2021-07-11T17:00:00Z,PT30M
0.2844,0.1195,0.2971,2021-07-11T17:30:00Z,PT30M
0.1979,0.0776,0.2028,2021-07-11T18:00:00Z,PT30M
0.1138,0.036,0.1159,2021-07-11T18:30:00Z,PT30M
0.0351,0.0162,0.036855,2021-07-11T19:00:00Z,PT30M
0.004,0.002,0.004,2021-07-11T19:30:00Z,PT30M
0,0,0,2021-07-11T20:00:00Z,PT30M
0,0,0,2021-07-11T20:30:00Z,PT30M
0,0,0,2021-07-11T21:00:00Z,PT30M
0,0,0,2021-07-11T21:30:00Z,PT30M
0,0,0,2021-07-11T22:00:00Z,PT30M
0,0,0,2021-07-11T22:30:00Z,PT30M
0,0,0,2021-07-11T23:00:00Z,PT30M
0,0,0,2021-07-11T23:30:00Z,PT30M
0,0,0,2021-07-12,PT30M
0,0,0,2021-07-12T00:30:00Z,PT30M
0,0,0,2021-07-12T01:00:00Z,PT30M
0,0,0,2021-07-12T01:30:00Z,PT30M
0,0,0,2021-07-12T02:00:00Z,PT30M
0,0,0,2021-07-12T02:30:00Z,PT30M
0,0,0,2021-07-12T03:00:00Z,PT30M
0,0,0,2021-07-12T03:30:00Z,PT30M
0,0,0,2021-07-12T04:00:00Z,PT30M
